station_name,latitude,longitude,elevation[m],d_east[m],d_nord[m],d_z[m]
CAAM,40.820065,14.142049,170.0,-9.835430806960421e-06,1.1528166304296115e-05,1.2896229119113474e-05
CBAC,40.810901,14.08057,77.0,6.140878519443091e-06,8.293835126226399e-07,-2.5433357862776424e-06
CFMN,40.832942,14.090403,92.0,-5.555183960217881e-06,3.8310710382747155e-06,5.409187570464972e-06
CMIS,40.778154,14.089047,134.0,1.0535289779146462e-06,7.566211916328018e-06,-3.1906139030885676e-07
CMSN,40.8382,14.1818,20.0,3.5474667013735874e-06,1.3657452533509364e-06,6.010688668399166e-07
CNIS,40.79817,14.163176,50.0,4.701491878700299e-06,-9.697629601276003e-07,2.1125561934592567e-06
CPIS,40.829224,14.146981,117.0,-2.0532494080183585e-05,1.0715947034338884e-05,1.6275802513805283e-05
CPOZ,40.821072,14.11911,52.0,1.4866603207604786e-05,-6.816112929829315e-06,-4.7073962485681405e-06
CSFT,40.829168,14.139635,151.0,-1.1519417790591237e-05,7.677735433905473e-06,1.3624725209709803e-05
CSOB,40.826469,14.143963,223.0,-2.0068621027421845e-05,8.642990072243024e-06,1.1020384015608672e-05
CSTH,40.829447,14.149329,108.0,-1.9129743241766858e-06,6.926751950270699e-06,8.243685009056374e-06
