name,lat,lon,depth,mag
21664,40.821999,14.1165,-2000.0,1.0
21651,40.82,14.13333,-1200.0,1.0
4255,40.818668,14.13583,-1580.0,1.0
21600,40.82283,14.1455,-830.0,1.9
4247,40.826672,14.1455,-1720.0,1.8
4246,40.824669,14.14767,-2050.0,1.5
4245,40.825668,14.1465,-1520.0,1.1
4244,40.827171,14.144,-1730.0,1.0
4243,40.824169,14.14783,-1750.0,1.9
4242,40.826,14.14667,-2110.0,2.2
4232,40.826832,14.14833,-2250.0,2.0
20638,40.82333,14.14833,-1080.0,1.1
20636,40.82317,14.14683,-1150.0,1.0
4218,40.826328,14.1465,-2260.0,2.3
20631,40.823669,14.14867,-1710.0,1.1
4217,40.825001,14.15033,-1530.0,2.5
4216,40.82333,14.14717,-1320.0,1.1
4212,40.840672,14.13533,-1620.0,1.1
4211,40.821671,14.13417,-2270.0,1.5
4210,40.824169,14.13133,-2120.0,1.6
4201,40.827499,14.13717,-2170.0,2.1
4200,40.821499,14.137,-890.0,1.5
4199,40.821499,14.138,-1610.0,1.4
4198,40.820332,14.13783,-1230.0,1.1
4197,40.820332,14.1395,-1570.0,1.5
19104,40.821331,14.13983,-1670.0,1.1
4196,40.827999,14.153,-1860.0,1.7
4185,40.820499,14.132,-1640.0,1.1
19033,40.820332,14.13317,-1430.0,1.2
7511,40.823669,14.13,-1180.0,1.3
7453,40.838329,14.14017,-1040.0,1.3
7339,40.821671,14.136,-790.0,1.2
7293,40.836498,14.136,-1920.0,1.3
7289,40.838001,14.1355,-1770.0,1.4
10498,40.827499,14.145,-1240.0,1.0
10496,40.831829,14.14367,-1520.0,1.2
10340,40.827,14.14917,-1580.0,1.0
10338,40.827999,14.14783,-2120.0,1.1
149,40.83083,14.147,-2180.0,1.4
10335,40.825829,14.15167,-1740.0,1.3
151,40.83083,14.14867,-2370.0,1.4
10332,40.82917,14.14583,-1740.0,1.0
152,40.832668,14.14483,-2420.0,1.8
153,40.831333,14.146333,-2570.0,2.4
155,40.828331,14.15833,-1290.0,1.2
156,40.828999,14.14283,-2000.0,1.3
157,40.831329,14.14883,-2140.0,1.4
160,40.826832,14.14283,-810.0,1.0
214,40.827332,14.14,-920.0,1.7
10215,40.83017,14.128,-1730.0,1.0
236,40.82983,14.1295,-1820.0,1.2
309,40.835331,14.1115,-1710.0,1.1
381,40.82333,14.14167,-720.0,1.5
382,40.823002,14.1395,-570.0,1.1
414,40.82317,14.13617,-730.0,1.1
656,40.80933,14.14383,-2880.0,1.6
677,40.827499,14.148,-2320.0,2.5
678,40.828999,14.14583,-2270.0,1.4
684,40.824001,14.13667,-1110.0,1.4
698,40.825829,14.14933,-1660.0,1.1
9825,40.827671,14.13433,-2680.0,1.3
707,40.827499,14.13333,-2310.0,1.7
716,40.824001,14.129,-1410.0,1.2
719,40.82283,14.13383,-1700.0,1.4
720,40.826,14.13167,-2140.0,1.4
729,40.835171,14.1415,-1300.0,1.1
730,40.837002,14.135,-1770.0,2.0
796,40.827499,14.147,-2270.0,1.4
1004,40.846,14.1835,-2560.0,2.0
1114,40.820839,14.13067,-1650.0,1.0
1159,40.828671,14.1485,-2130.0,2.5
1160,40.827499,14.14933,-2150.0,1.1
1162,40.825161,14.1465,-1560.0,1.0
1187,40.827499,14.14283,-980.0,1.1
1344,40.827171,14.1435,-1180.0,1.8
1366,40.824669,14.1375,-1470.0,1.1
1375,40.834171,14.145,-570.0,1.1
1390,40.8265,14.13867,-1220.0,1.0
1394,40.834839,14.13533,-1520.0,1.2
1637,40.820999,14.13767,-1370.0,1.2
1639,40.82283,14.1365,-1220.0,1.0
1715,40.826672,14.133,-1580.0,1.2
1836,40.825001,14.1435,-1790.0,1.7
1838,40.820332,14.13583,-910.0,1.0
1874,40.83083,14.14867,-1360.0,1.0
1900,40.827499,14.13933,-1560.0,1.1
2005,40.810501,14.09583,-4350.0,1.5
2086,40.828171,14.1475,-1910.0,2.5
2354,40.827171,14.12483,-790.0,1.3
2355,40.828999,14.12167,-710.0,1.4
2361,40.8255,14.12417,-820.0,1.0
2356,40.830502,14.124,-1650.0,1.7
2358,40.824329,14.12417,-600.0,1.1
2424,40.824169,14.153,-2150.0,1.1
2464,40.825329,14.11817,-930.0,1.0
2482,40.826672,14.14217,-830.0,1.4
2483,40.824829,14.142,-760.0,1.0
2489,40.825001,14.13217,-1330.0,1.0
2491,40.82383,14.1335,-1390.0,1.3
2492,40.824501,14.133,-1400.0,1.0
2507,40.83083,14.14283,-1890.0,1.2
2508,40.83017,14.14933,-2330.0,3.1
2509,40.83033,14.14317,-2140.0,1.3
2512,40.830502,14.14167,-1640.0,1.2
2576,40.826672,14.14517,-1440.0,1.3
2838,40.828499,14.14667,-2600.0,1.1
2897,40.825668,14.133,-1620.0,1.0
2905,40.825001,14.1425,-940.0,1.2
2943,40.826672,14.143,-2250.0,2.7
2950,40.89967,14.13483,-3650.0,1.4
2983,40.820332,14.13333,-940.0,1.1
2998,40.828999,14.14533,-1890.0,1.0
3015,40.831501,14.14883,-2630.0,2.2
3016,40.828999,14.149,-2310.0,1.6
3020,40.829498,14.14817,-2560.0,2.7
3022,40.82917,14.15,-2570.0,3.3
3024,40.831329,14.14583,-2490.0,1.0
3025,40.828671,14.14583,-2730.0,1.3
3031,40.827999,14.14583,-2390.0,1.5
3551,40.827,14.14267,-1310.0,1.0
3708,40.817829,14.12283,-1080.0,1.1
3741,40.823502,14.13467,-990.0,1.1
3742,40.827839,14.13367,-1660.0,1.2
3758,40.826672,14.1365,-1030.0,1.2
3831,40.82283,14.12317,-1790.0,1.1
3878,40.808998,14.11433,-4460.0,1.5
4041,40.82283,14.117,-1770.0,1.1
4050,40.82283,14.13,-2320.0,1.0
4107,40.827,14.1375,-1290.0,1.0
4151,40.832829,14.14933,-1430.0,1.0
4203,40.824669,14.1395,-1700.0,1.9
4214,40.820499,14.1195,-870.0,1.1
4215,40.820171,14.12167,-1510.0,1.0
4325,40.823502,14.136,-1150.0,1.0
4335,40.824669,14.13483,-1860.0,1.0
4350,40.831329,14.14183,-2260.0,2.7
4395,40.831329,14.14483,-1680.0,2.7
4354,40.823502,14.14,-1880.0,2.4
4357,40.823502,14.137,-1530.0,1.5
4397,40.827671,14.14017,-1010.0,1.6
4411,40.8265,14.14017,-1200.0,1.4
4414,40.825001,14.1405,-980.0,1.1
4416,40.80983,14.115,-2270.0,1.3
4417,40.831329,14.14583,-2310.0,2.6
4439,40.827332,14.13367,-1640.0,1.0
4449,40.827671,14.1325,-1970.0,1.1
4451,40.825329,14.13067,-1580.0,1.6
4472,40.828671,14.135,-1080.0,1.2
4489,40.832329,14.1465,-1890.0,1.8
4496,40.831329,14.15167,-1590.0,1.5
4505,40.825161,14.12267,-1710.0,1.0
4510,40.826328,14.12283,-800.0,1.1
4550,40.823669,14.14783,-2410.0,1.0
4586,40.801998,14.118,-3470.0,2.0
4665,40.833172,14.116,-2320.0,1.5
4694,40.828171,14.14017,-1270.0,1.3
4801,40.828499,14.13833,-2250.0,1.5
4808,40.831829,14.14317,-1750.0,1.2
4879,40.799839,14.1115,-4030.0,1.3
4884,40.804501,14.11533,-3800.0,2.2
4924,40.828671,14.15017,-2250.0,1.9
4928,40.82983,14.12033,-2310.0,1.1
5042,40.8255,14.128,-2210.0,1.4
5045,40.820999,14.138,-910.0,1.0
5080,40.826328,14.14333,-2270.0,2.0
5216,40.82917,14.13017,-2670.0,1.0
5240,40.8255,14.14017,-2440.0,1.0
5269,40.841999,14.1375,-1440.0,1.2
5270,40.841999,14.13883,-1520.0,1.2
5286,40.840328,14.135,-1160.0,1.1
5274,40.841999,14.135,-1370.0,1.8
5275,40.84,14.13833,-1030.0,1.1
5278,40.838829,14.13733,-1550.0,1.7
5280,40.840333,14.133833,-1170.0,1.0
5284,40.84,14.13667,-1170.0,1.1
5326,40.80267,14.09683,-2810.0,1.3
5369,40.826328,14.1415,-2110.0,1.7
5425,40.82283,14.12033,-2530.0,1.1
5447,40.828671,14.15417,-1750.0,1.6
5473,40.830799,14.1367,-2140.0,1.21
5496,40.835701,14.1222,-2340.0,1.7
5571,40.800999,14.113,-3880.0,1.43
5584,40.807701,14.1145,-3420.0,2.17
5611,40.834,14.1248,-2750.0,1.08
5890,40.829498,14.1452,-1850.0,1.15
5962,40.820301,14.1402,-1900.0,1.48
5993,40.823502,14.1437,-1600.0,1.43
6031,40.827999,14.1342,-1140.0,1.08
6058,40.841801,14.1402,-1310.0,1.21
6059,40.840302,14.1408,-1540.0,1.27
6187,40.8125,14.1155,-3660.0,1.33
6188,40.808201,14.1158,-3630.0,1.27
6189,40.803001,14.1207,-2780.0,1.15
6239,40.832699,14.1368,-2510.0,1.71
6243,40.827801,14.1332,-2470.0,1.99
6365,40.827702,14.1413,-1170.0,1.71
6369,40.8092,14.1063,-3910.0,1.82
6378,40.824299,14.1348,-1720.0,1.08
6384,40.824001,14.1315,-1230.0,1.43
6389,40.825298,14.1322,-890.0,1.08
6390,40.833302,14.1137,-2510.0,1.33
6459,40.826302,14.136,-2000.0,1.15
15797,40.820301,14.1345,-1660.0,1.27
6494,40.828201,14.1437,-2210.0,2.47
6535,40.838799,14.1402,-1410.0,1.48
6536,40.840801,14.1402,-1330.0,1.58
6597,40.807201,14.1472,-2960.0,1.33
6601,40.845299,14.1372,-1910.0,1.01
6642,40.830799,14.1445,-1900.0,1.27
6708,40.831001,14.118,-2940.0,1.38
6710,40.831501,14.1455,-2100.0,1.43
6758,40.822498,14.1447,-1110.0,2.09
6785,40.825199,14.1463,-870.0,1.01
6806,40.835201,14.114,-1750.0,1.08
6831,40.811298,14.1145,-3210.0,1.01
6833,40.7967,14.1182,-3400.0,1.75
6834,40.807201,14.1123,-3260.0,2.23
6887,40.820301,14.1407,-1060.0,1.86
7011,40.828201,14.1457,-1780.0,1.15
7015,40.8335,14.1367,-1520.0,1.27
7042,40.827202,14.124,-1820.0,1.15
7102,40.8283,14.1352,-2540.0,3.47
7106,40.828201,14.138,-1860.0,1.21
7108,40.826199,14.1335,-1950.0,1.15
7118,40.822498,14.0862,-2830.0,1.08
14711,40.828201,14.1435,-1670.0,1.62
