,#EventID,Time,Latitude,Longitude,Depth/km,MagType,Magnitude,MagErr,Level
833,4217,2015-10-07T09:10:50.680000Z,40.825001,14.15033,1.53,D,2.5,0.3,Bollettino
964,32178,2024-01-21T09:35:04.859000Z,40.806333,14.106667,2.96,,2.6,0.3,Bollettino
1378,32701,2024-02-17T18:09:50.630000Z,40.811333,14.0975,2.98,,2.7,0.3,Bollettino
1381,32704,2024-02-17T19:22:09.220000Z,40.838333,14.110667,3.19,,3.0,0.3,Bollettino
1546,32915,2024-03-03T09:01:59.609000Z,40.816,14.152167,2.95,,3.2,0.3,Bollettino
2001,33522,2024-04-04T05:14:36.519000Z,40.825833,14.114,2.39,,2.7,0.3,Bollettino
2011,33528,2024-04-04T05:32:56.809000Z,40.8255,14.115,2.47,,2.9,0.3,Bollettino
2012,33541,2024-04-04T05:33:01.619000Z,40.825167,14.115833,2.31,,3.2,0.3,Bollettino
2098,33632,2024-04-06T11:59:31.900000Z,40.803667,14.1145,2.96,,2.5,0.3,Bollettino
2245,33786,2024-04-09T20:32:10.109000Z,40.832833,14.147167,2.78,,2.8,0.3,Bollettino
2496,34048,2024-04-14T07:44:24.099000Z,40.828167,14.137333,2.65,,3.7,0.3,Bollettino
2502,34050,2024-04-14T07:46:58.740000Z,40.830833,14.1365,2.48,,3.1,0.3,Bollettino
2522,34085,2024-04-14T07:57:58.049000Z,40.824667,14.140167,0.92,,2.5,0.3,Bollettino
2526,34065,2024-04-14T08:01:43.700000Z,40.829,14.138167,2.35,,3.0,0.3,Bollettino
2668,34212,2024-04-16T03:38:05.549000Z,40.828667,14.151667,2.82,,2.5,0.3,Bollettino
2954,34591,2024-04-26T01:47:42.309000Z,40.832833,14.147833,2.53,,2.6,0.3,Bollettino
3022,34662,2024-04-27T03:44:56.289000Z,40.8085,14.094,2.78,,3.9,0.3,Bollettino
3487,35156,2024-05-07T01:47:54.559000Z,40.826,14.145,1.76,,3.2,0.3,Bollettino
3561,35209,2024-05-07T03:53:22.359000Z,40.827,14.144167,1.35,,2.9,0.3,Bollettino
3637,35274,2024-05-07T17:37:25.089000Z,40.827833,14.1415,2.0,,2.8,0.3,Bollettino
3655,35293,2024-05-08T05:29:10.440000Z,40.8325,14.13,2.95,,2.6,0.3,Bollettino
3709,35381,2024-05-10T11:25:52.089000Z,40.811333,14.1035,2.44,,3.7,0.3,Bollettino
3710,35387,2024-05-10T11:26:10.319000Z,40.811,14.1145,2.17,,3.6,0.3,Bollettino
3793,35467,2024-05-13T01:30:20.750000Z,40.832333,14.092,2.21,,2.9,0.3,Bollettino
4011,35716,2024-05-18T04:30:55.200000Z,40.835333,14.143333,2.8,,2.8,0.3,Bollettino
4106,35838,2024-05-20T17:51:14.940000Z,40.838667,14.128833,2.57,,3.5,0.3,Bollettino
4114,35846,2024-05-20T18:10:03.549000Z,40.827333,14.1375,2.57,,4.4,0.3,Bollettino
4231,35955,2024-05-20T19:46:14.190000Z,40.829667,14.136167,2.8,,3.9,0.3,Bollettino
4241,35969,2024-05-20T19:55:37.839000Z,40.822833,14.125667,2.21,,3.1,0.3,Bollettino
4328,36042,2024-05-20T21:00:55.170000Z,40.822667,14.124333,2.73,,3.6,0.3,Bollettino
4409,36125,2024-05-20T22:55:54.160000Z,40.818167,14.144333,0.3,,2.8,0.3,Bollettino
4561,36310,2024-05-22T06:28:00.380000Z,40.8085,14.107667,2.55,,3.6,0.3,Bollettino
4623,36479,2024-05-25T01:03:23.859000Z,40.8295,14.140167,2.41,,2.7,0.3,Bollettino
4942,36917,2024-06-08T01:52:04.829000Z,40.829833,14.144,2.44,,3.5,0.3,Bollettino
4943,36952,2024-06-08T01:52:21.670000Z,40.8295,14.144167,2.08,,3.0,0.3,Bollettino
4959,36927,2024-06-08T02:09:03.579000Z,40.830667,14.149,2.27,,3.7,0.3,Bollettino
4960,36955,2024-06-08T02:10:16.279000Z,40.828667,14.146667,2.36,,2.7,0.3,Bollettino
5187,37228,2024-06-18T01:58:24.410000Z,40.832,14.084333,2.72,,3.4,0.3,Bollettino
5394,37553,2024-07-02T13:10:14.789000Z,40.815,14.1555,2.74,,2.9,0.3,Bollettino
5395,37554,2024-07-02T13:11:34.200000Z,40.813333,14.155667,2.89,,2.7,0.3,Bollettino
5396,37555,2024-07-02T13:13:45.759000Z,40.8135,14.158,2.85,,2.8,0.3,Bollettino
5397,37559,2024-07-02T13:14:02.259000Z,40.811667,14.154,2.93,,2.5,0.3,Bollettino
