name,lat,lon,depth
flegrei_2018_09_18_21_36_41,40.8159862758,14.1140505544,-4363.791579
flegrei_2023_06_11_06_44_25,40.8275606042,14.1152810504,-3988.901608
flegrei_2023_09_07_17_45_28,40.828275774,14.1185155904,-3515.270652
flegrei_2023_09_26_07_10_29,40.816223607,14.116232537,-4148.274072
flegrei_2023_10_02_20_08_26,40.8197798779,14.1255079207,-4198.202639
flegrei_2024_04_27_03_44_56,40.8206323606,14.1288066919,-2669.619366
flegrei_2024_05_22_06_28_00,40.8292355725,14.1354734489,-2785.666402
flegrei_2024_06_08_01_52_04,40.8247637772,14.1433973855,-3272.972005
flegrei_2024_06_18_01_58_24,40.8246880652,14.14507173,-3472.214048
flegrei_2024_07_26_11_46_21,40.8238667004,14.1365455304,-4462.55979
flegrei_2024_08_30_19_23_15,40.8320739113,14.1242836625,-2871.735196
flegrei_2025_02_16_14_30_02,40.820040564,14.111585681,-3861.273947
