name,lat,lon,depth
flegrei_2023_01_19_08_44_30,40.827202,14.1338,2850.328633
flegrei_2023_02_05_00_45_36,40.8032,14.1108,3755.565647
flegrei_2023_03_04_13_15_20,40.831799,14.1247,4017.963339
flegrei_2023_04_23_00_35_20,40.82,14.1463,1126.214071
flegrei_2023_05_08_22_33_17,40.824799,14.1377,1252.48049
flegrei_2023_06_11_06_44_25,40.834301,14.1102,3554.166524
flegrei_2023_08_18_04_10_30,40.827702,14.1517,3190.169223
flegrei_2023_09_12_02_28_50,40.828,14.139167,1751.935768
flegrei_2023_10_01_13_33_09,40.832833,14.135667,3039.086347
flegrei_2024_04_04_05_14_36,40.825833,14.114,3883.802479
flegrei_2024_04_14_07_57_58,40.824667,14.140167,1128.89597
flegrei_2024_04_26_01_47_42,40.832833,14.147833,2121.01678
flegrei_2024_05_07_01_47_54,40.826,14.145,1313.647895
flegrei_2024_05_07_03_53_22,40.827,14.144167,1268.026014
flegrei_2024_05_07_17_37_25,40.827833,14.1415,2094.443304
flegrei_2024_05_08_05_29_10,40.8325,14.13,1732.593431
flegrei_2024_05_13_01_30_20,40.832333,14.092,3524.186821
flegrei_2024_05_13_20_49_58,40.8315,14.140167,1380.209341
flegrei_2024_05_20_17_51_14,40.838667,14.128833,4066.214114
flegrei_2024_05_20_19_55_37,40.822833,14.125667,2965.675804
flegrei_2024_05_20_21_00_55,40.822667,14.124333,2713.719569
flegrei_2024_06_08_02_09_03,40.830667,14.149,1285.675587
flegrei_2024_06_18_01_58_24,40.832,14.084333,2428.11137
flegrei_2024_07_11_09_59_20,40.835667,14.144833,1824.453195
flegrei_2024_07_26_11_46_21,40.805667,14.098333,3620.857343
flegrei_2024_08_18_00_29_21,40.8185,14.140833,1077.276425
flegrei_2024_10_12_04_54_23,40.802833,14.151,2656.237514
flegrei_2024_10_13_06_07_53,40.8345,14.147833,2778.03204
flegrei_2024_12_06_04_33_59,40.822667,14.133833,768.8403959
